,foodcourt,restaurant,restaurantmenuitem,date,forecast,r2,actual,error,MAPE,accuracy_prophet
55,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-18,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
56,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-12,14,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
57,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-13,18,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
58,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-14,8,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
59,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-15,10,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
60,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-16,4,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
61,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-17,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
62,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-18,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
63,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-12,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
64,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-13,2,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
65,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-14,7,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
66,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-15,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
67,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-16,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
68,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-17,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
