,foodcourt,restaurant,restaurantmenuitem,date,actual,forecast_rf_lag,r2,mape,accuracy_rf_lag,model
25,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-16,0.0,15.0,0.0,1.9301141260159268e+16,0.2857142857142857,randomforest-lag
26,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-17,0.0,0.0,0.0,1.9301141260159268e+16,0.2857142857142857,randomforest-lag
27,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-18,0.0,0.0,0.0,1.9301141260159268e+16,0.2857142857142857,randomforest-lag
28,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-12,0.0,64.0,0.0,1.9880175497964048e+17,0.2857142857142857,randomforest-lag
29,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-13,0.0,69.0,0.0,1.9880175497964048e+17,0.2857142857142857,randomforest-lag
30,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-14,0.0,13.0,0.0,1.9880175497964048e+17,0.2857142857142857,randomforest-lag
31,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-15,0.0,31.0,0.0,1.9880175497964048e+17,0.2857142857142857,randomforest-lag
32,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-16,0.0,132.0,0.0,1.9880175497964048e+17,0.2857142857142857,randomforest-lag
33,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-17,0.0,0.0,0.0,1.9880175497964048e+17,0.2857142857142857,randomforest-lag
34,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-18,0.0,0.0,0.0,1.9880175497964048e+17,0.2857142857142857,randomforest-lag
35,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-12,0.0,5.0,0.0,4503599627370496.0,0.7142857142857143,randomforest-lag
36,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-13,0.0,0.0,0.0,4503599627370496.0,0.7142857142857143,randomforest-lag
37,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-14,0.0,2.0,0.0,4503599627370496.0,0.7142857142857143,randomforest-lag
38,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-15,0.0,0.0,0.0,4503599627370496.0,0.7142857142857143,randomforest-lag
39,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-16,0.0,0.0,0.0,4503599627370496.0,0.7142857142857143,randomforest-lag
40,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-17,0.0,0.0,0.0,4503599627370496.0,0.7142857142857143,randomforest-lag
41,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-18,0.0,0.0,0.0,4503599627370496.0,0.7142857142857143,randomforest-lag
42,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-12,0.0,9.0,0.0,2.1874626761513836e+16,0.4285714285714286,randomforest-lag
