,date,foodcourt,restaurant,restaurantmenuitem,actual,forecast_arima,model,accuracy_arima
64,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,,auto-arima,0.2857142857142857
65,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,,auto-arima,0.2857142857142857
66,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,,auto-arima,0.2857142857142857
67,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,,auto-arima,0.2857142857142857
68,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,0.0,auto-arima,0.2857142857142857
69,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,0.0,auto-arima,0.2857142857142857
70,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,,auto-arima,0.2857142857142857
71,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,,auto-arima,0.2857142857142857
72,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,,auto-arima,0.2857142857142857
73,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,,auto-arima,0.2857142857142857
74,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,,auto-arima,0.2857142857142857
75,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,0.0,auto-arima,0.2857142857142857
