,foodcourt,restaurant,restaurantmenuitem,deepar_uni,deepar_multi,xgb_norm,xgb_lag,rf_lag,prophet,prophet_multi,xgb_multi,rf_multi,lr,max_accuracy,best_model,max_accuracy_segment,sales_segment,rank_segment,total_count,menuitemname
561,636b5432f58c726d86373232,636b5a3638130e6fd88a2ba3,65327c7b5e6a05001b160170,0.313186813186813,0.685064935064935,0.42076344707923663,0.39560439560439564,0.38519375361480623,0.37825332562174663,0.3652400231347599,0.213418160786581,0.380277617119722,0.302197802197802,0.685064935064935,deepar_multi,50-70,10-25,>500,235,Lunch Chicken Fry Piece Biryani
562,636b5432f58c726d86373232,636b5a3638130e6fd88a2ba3,65327cb2c250d1001b60347d,0.71780303030303,0.682051282051282,0.5943181818181817,0.7000541125541125,0.5016774891774891,0.6513528138528139,0.6994588744588744,0.679707792207792,0.743777056277056,0.411038961038961,0.743777056277056,rf_multi,70-80,10-25,>500,215,Dinner Non Veg Combo
563,63787a9e7c7d392939c21787,63789bf986bd357d59925933,639ea0958cd98b559f387e51,0.714285714285714,0.681632653061224,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.857142857142857,0.857142857142857,0.0105820105820105,0.857142857142857,xgb_multi,85-90,10-25,400-500,41,Veg Thai Combo
564,63787a9e7c7d392939c21787,63789bf986bd357d59925933,64c75b7cf62672001b21dc2d,0.705882352941176,0.681325863678804,0.7154861944777912,0.6548619447779112,0.6668667466986795,0.7521008403361344,0.7022809123649459,0.43157262905162,0.648259303721488,0.406962785114045,0.7521008403361344,prophet,70-80,10-25,>500,462,Veg Combo
565,63787a9e7c7d392939c21787,63789bf986bd357d59925933,65ae4775e341a6001c313931,0.285714285714285,0.681318681318681,1.0,0.8571428571428572,0.8571428571428572,0.2857142857142857,0.5714285714285714,0.428571428571428,0.285714285714285,0.0,1.0,xgb_norm,>95,<10,>500,25,Veg Combo 
566,63787a9e7c7d392939c21787,6476ed124535460018ab5ff2,647b1152b733e9001b501957,0.857142857142857,0.680952380952381,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.2857142857142857,0.2857142857142857,0.857142857142857,0.857142857142857,0.428571428571428,0.8571428571428572,xgb_norm,85-90,>100,1-100,108,Nizamuddin Veg Biryani
567,63787a9e7c7d392939c21787,6476ed124535460018ab5ff2,647b1153b733e9001b501958,0.714285714285714,0.680839002267573,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.285714285714285,1.0,1.0,xgb_multi,>95,75-100,100-200,331,Home Style Veg Dum Biryani
568,63787a9e7c7d392939c21787,6476ed124535460018ab5ff2,647b1153b733e9001b501965,0.857142857142857,0.680612244897959,0.8571428571428572,1.0,0.8571428571428572,0.2857142857142857,1.0,0.857142857142857,0.571428571428571,0.0,1.0,xgb_lag,>95,>100,1-100,175,Donne Veg Biryani
569,63787a9e7c7d392939c21787,6476ed124535460018ab5ff2,647b1153b733e9001b5019a0,0.711744160753975,0.679761904761904,0.6290731676352213,0.4276169966686256,0.47812699014859417,0.7107522701053104,0.7126714082112189,0.316112624783279,0.613137412603119,0.471204075188046,0.7126714082112189,prophet_multi,70-80,>100,1-100,4180,North Veg Combo
570,63787a9e7c7d392939c21787,6476ed124535460018ab5ff2,647b1153b733e9001b5019b2,0.857142857142857,0.678571428571428,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,0.714285714285714,1.0,xgb_multi,>95,75-100,1-100,160,Lal Mirch Ka Paneer Tikka Combo
571,63787a9e7c7d392939c21787,6476ed124535460018ab5ff2,647b1153b733e9001b5019c3,0.714285714285714,0.678571428571428,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.428571428571428,0.285714285714285,0.571428571428571,0.7142857142857143,xgb_norm,70-80,>100,1-100,1576,Paneer Combo
572,63787a9e7c7d392939c21787,6476ed124535460018ab5ff2,65af8ac99b47db001741212d,0.423205449521239,0.678571428571428,0.3302486986697514,0.3533834586466166,0.4042799305957201,0.4707556436879745,0.5077712596509589,0.74419565397009,0.755501390839736,0.474253399065429,0.755501390839736,rf_multi,70-80,10-25,>500,70,North Veg Combo 
573,63787a9e7c7d392939c21787,6476ed124535460018ab5ff2,65b0f08414f6e2001ce303e2,0.714285714285714,0.676743424642584,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.29568106312292364,0.2990033222591363,0.714285714285714,0.289036544850498,0.0132890365448504,0.7142857142857143,xgb_norm,70-80,75-100,100-200,163,Tandoori Combo 
574,63787a9e7c7d392939c21787,6476ed124535460018ab5ff2,65ba4e7d4314c6001b4223dc,0.857142857142857,0.676360544217687,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.2857142857142857,0.8571428571428572,0.857142857142857,0.857142857142857,0.857142857142857,0.8571428571428572,xgb_norm,85-90,10-25,>500,21,Donne Veg Biryani 
575,63787a9e7c7d392939c21787,6476fa8c4535460018ab604e,647b154c9a68800017331495,0.857142857142857,0.676190476190476,0.7142857142857143,0.8571428571428572,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.571428571428571,0.428571428571428,0.571428571428571,0.8571428571428572,xgb_lag,85-90,>100,1-100,893,Donne Chicken Biryani 
576,63787a9e7c7d392939c21787,6476fa8c4535460018ab604e,647b154c9a68800017331496,0.881613756613756,0.674752097635392,0.8961640211640212,0.9351851851851852,0.9133597883597884,0.3293650793650793,0.3564814814814815,0.922619047619047,0.797619047619047,0.0085978835978836,0.9351851851851852,xgb_lag,90-95,>100,1-100,357,Home Style Egg Biryani
577,63787a9e7c7d392939c21787,6476fa8c4535460018ab604e,647b154c9a6880001733149a,0.571428571428571,0.674045002616431,0.4285714285714286,0.5714285714285714,0.4285714285714286,0.2857142857142857,0.2857142857142857,0.857142857142857,0.714285714285714,0.142857142857142,0.857142857142857,xgb_multi,85-90,50-75,100-200,416,Mutton Combo
578,63787a9e7c7d392939c21787,6476fa8c4535460018ab604e,647b154c9a6880001733149c,0.751231527093596,0.672732426303854,0.6009852216748768,0.5714285714285714,0.6059113300492611,0.33251231527093594,0.28817733990147787,0.571428571428571,0.46551724137931,0.320197044334975,0.751231527093596,deepar_uni,70-80,75-100,100-200,230,Tandoori Combo
579,63787a9e7c7d392939c21787,6476fa8c4535460018ab604e,647b154c9a688000173314a6,0.526409074796171,0.671697350268778,0.49121174524400335,0.5941303320335578,0.484712867777384,0.5539702233250621,0.5502481389578164,0.11285891527827,0.520752097365,0.622518610421836,0.671697350268778,deepar_multi,50-70,>100,1-100,2582,North Non-Veg Combo
580,63787a9e7c7d392939c21787,6476fa8c4535460018ab604e,647b154c9a688000173314ca,0.857142857142857,0.671428571428571,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.2857142857142857,0.2857142857142857,0.857142857142857,0.857142857142857,0.285714285714285,0.8571428571428572,xgb_norm,85-90,>100,1-100,329,Nizamuddin Chicken Biryani
581,63787a9e7c7d392939c21787,6476fa8c4535460018ab604e,647b154c9a688000173314ce,0.752232142857142,0.671428571428571,0.7477678571428572,0.7142857142857143,0.7522321428571428,0.3429163080895009,0.3429163080895009,0.747767857142857,0.725446428571428,0.010138769363167,0.7522321428571428,rf_lag,70-80,75-100,1-100,92,Mutton Combo
582,63787a9e7c7d392939c21787,6476fa8c4535460018ab604e,65af8c418d7d8f001be02d86,0.462992889463477,0.670748299319727,0.4797996121525533,0.7286683904330964,0.6746929541047189,0.42824822236586946,0.5122818358112475,0.576276664511958,0.549773755656108,0.276664511958629,0.7286683904330964,xgb_lag,70-80,10-25,>500,113,North Non Veg Combo 
