,date,foodcourt,restaurant,restaurantmenuitem,actual,forecast_xgb_norm,r2,mape,model,accuracy_xgb_norm
69,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.8571428571428572
70,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,0.0,0.0,4503599627370496.0,xgboost-norm,0.8571428571428572
71,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,0.0,0.0,4503599627370496.0,xgboost-norm,0.8571428571428572
72,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,7.0,0.0,4503599627370496.0,xgboost-norm,0.8571428571428572
73,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,0.0,0.0,4503599627370496.0,xgboost-norm,0.8571428571428572
74,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,0.0,0.0,4503599627370496.0,xgboost-norm,0.8571428571428572
75,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,0.0,0.0,4503599627370496.0,xgboost-norm,0.8571428571428572
76,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.0,0.0,0.0,4503599627370496.0,xgboost-norm,0.8571428571428572
77,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,0.0,0.0,8363827879402350.0,xgboost-norm,0.8571428571428572
78,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.0,0.0,0.0,8363827879402350.0,xgboost-norm,0.8571428571428572
