,foodcourt,restaurant,restaurantmenuitem,date,actual,forecast_rf_lag,r2,mape,accuracy_lgb_lag,model
77,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-12,0.0,2.0,0.0,6433713753386423.0,0.2857142857142857,lgb_lag
78,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-13,0.0,2.0,0.0,6433713753386423.0,0.2857142857142857,lgb_lag
79,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-14,0.0,2.0,0.0,6433713753386423.0,0.2857142857142857,lgb_lag
80,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-15,0.0,2.0,0.0,6433713753386423.0,0.2857142857142857,lgb_lag
81,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-16,0.0,2.0,0.0,6433713753386423.0,0.2857142857142857,lgb_lag
82,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-17,0.0,0.0,0.0,6433713753386423.0,0.2857142857142857,lgb_lag
83,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,2024-02-18,0.0,0.0,0.0,6433713753386423.0,0.2857142857142857,lgb_lag
84,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-12,62.0,11.0,-1.2599032355609312,0.5877442434356526,0.41225575656434743,lgb_lag
85,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-13,79.0,11.0,-1.2599032355609312,0.5877442434356526,0.41225575656434743,lgb_lag
86,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-14,75.0,11.0,-1.2599032355609312,0.5877442434356526,0.41225575656434743,lgb_lag
87,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-15,60.0,11.0,-1.2599032355609312,0.5877442434356526,0.41225575656434743,lgb_lag
88,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-16,46.0,11.0,-1.2599032355609312,0.5877442434356526,0.41225575656434743,lgb_lag
89,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-17,0.0,0.0,-1.2599032355609312,0.5877442434356526,0.41225575656434743,lgb_lag
90,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,2024-02-18,0.0,0.0,-1.2599032355609312,0.5877442434356526,0.41225575656434743,lgb_lag
91,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-12,38.0,7.0,-1.3815493095681126,0.5981406724315563,0.40185932756844367,lgb_lag
92,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-13,38.0,7.0,-1.3815493095681126,0.5981406724315563,0.40185932756844367,lgb_lag
93,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-14,43.0,7.0,-1.3815493095681126,0.5981406724315563,0.40185932756844367,lgb_lag
94,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-15,46.0,7.0,-1.3815493095681126,0.5981406724315563,0.40185932756844367,lgb_lag
95,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-16,54.0,7.0,-1.3815493095681126,0.5981406724315563,0.40185932756844367,lgb_lag
96,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-17,0.0,0.0,-1.3815493095681126,0.5981406724315563,0.40185932756844367,lgb_lag
97,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,2024-02-18,0.0,0.0,-1.3815493095681126,0.5981406724315563,0.40185932756844367,lgb_lag
