,foodcourt,restaurant,restaurantmenuitem,average_sales,rank,sales_segment,rank_segment
94,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f557ee4b001bf6b475,28.307692307692307,271,25-50,200-300
95,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f557ee4b001bf6b476,19.789473684210527,408,10-25,400-500
96,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9777,35.611111111111114,217,25-50,200-300
97,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9786,49.125,161,25-50,100-200
98,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c978f,73.89473684210526,98,50-75,1-100
99,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9794,21.142857142857142,377,10-25,300-400
100,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c9799,7.117647058823529,698,<10,>500
101,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c979a,31.842105263157894,240,25-50,200-300
102,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c979d,32.0,237,25-50,200-300
103,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64bcb33f78eb5500179c97a0,17.0,460,10-25,400-500
104,6059dc59b6dfef46f7242122,60619862521d242d91839eb7,64d616c933c4d400173647ac,14.0,510,10-25,>500
105,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c9817,45.68421052631579,177,25-50,100-200
106,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c981d,36.8421052631579,213,25-50,200-300
107,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c9833,18.42105263157895,434,10-25,400-500
108,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c9840,19.11111111111111,419,10-25,400-500
109,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35678eb5500179c9845,23.0625,344,10-25,300-400
110,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35778eb5500179c988c,6.933333333333334,707,<10,>500
111,6059dca8b6dfef46f7242125,606197ff5518941d454cbbe1,64bcb35778eb5500179c988d,22.157894736842106,359,10-25,300-400
112,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a998,23.42105263157895,339,10-25,300-400
113,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a9a3,12.444444444444445,543,10-25,>500
114,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a9a6,18.42105263157895,434,10-25,400-500
115,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a9b3,10.736842105263158,587,10-25,>500
116,6059dd1976d435554d8d7e43,624a93676801282472b2eebd,64bcb36f67e5c4001783a9cd,15.444444444444445,491,10-25,400-500
117,60f172e2d1b6e328e744cf65,622f1643edb3c44fb67cca33,64f2fd8f9d34a3001730c007,16.77777777777778,464,10-25,400-500
118,60f172e2d1b6e328e744cf65,622f1643edb3c44fb67cca33,64f2fd8f9d34a3001730c00a,13.2,531,10-25,>500
