,foodcourt,restaurant,restaurantmenuitem,date,actual,forecast_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,accuracy_xgb_lag,forecast_x,accuracy_prophet,forecast_y,accuracy_prophet_multi,forecast_rf_lag,accuracy_rf_lag,accuracy_lr,forecast_lr,accuracy_xgb_multi,forecast_xgb_multi,forecast_rf_multi,accuracy_rf_multi
10,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-15,0.0,16.0,0.2857142857142857,19.0,0.2857142857142857,19,0.2857142857142857,32,0.2857142857142857,15.0,0.2857142857142857,0.4285714285714286,25,0.7142857142857143,0,11.0,0.2857142857142857
11,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-16,0.0,31.0,0.2857142857142857,63.0,0.2857142857142857,34,0.2857142857142857,52,0.2857142857142857,46.0,0.2857142857142857,0.4285714285714286,51,0.7142857142857143,0,34.0,0.2857142857142857
12,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-17,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0,0.2857142857142857,0,0.2857142857142857,0.0,0.2857142857142857,0.4285714285714286,85,0.7142857142857143,0,0.0,0.2857142857142857
13,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-18,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0,0.2857142857142857,0,0.2857142857142857,0.0,0.2857142857142857,0.4285714285714286,106,0.7142857142857143,0,0.0,0.2857142857142857
14,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-12,0.0,17.0,0.2857142857142857,26.0,0.2857142857142857,23,0.2857142857142857,38,0.2857142857142857,20.0,0.2857142857142857,0.4285714285714286,0,0.4285714285714286,47,20.0,0.2857142857142857
15,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-13,0.0,15.0,0.2857142857142857,23.0,0.2857142857142857,21,0.2857142857142857,35,0.2857142857142857,20.0,0.2857142857142857,0.4285714285714286,0,0.4285714285714286,47,20.0,0.2857142857142857
16,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-14,0.0,4.0,0.2857142857142857,7.0,0.2857142857142857,10,0.2857142857142857,20,0.2857142857142857,5.0,0.2857142857142857,0.4285714285714286,0,0.4285714285714286,15,3.0,0.2857142857142857
17,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-15,0.0,5.0,0.2857142857142857,11.0,0.2857142857142857,11,0.2857142857142857,21,0.2857142857142857,7.0,0.2857142857142857,0.4285714285714286,12,0.4285714285714286,0,2.0,0.2857142857142857
18,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-16,0.0,21.0,0.2857142857142857,43.0,0.2857142857142857,27,0.2857142857142857,44,0.2857142857142857,29.0,0.2857142857142857,0.4285714285714286,44,0.4285714285714286,0,24.0,0.2857142857142857
19,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-17,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0,0.2857142857142857,0,0.2857142857142857,0.0,0.2857142857142857,0.4285714285714286,78,0.4285714285714286,0,0.0,0.2857142857142857
20,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-18,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0,0.2857142857142857,0,0.2857142857142857,0.0,0.2857142857142857,0.4285714285714286,98,0.4285714285714286,3,0.0,0.2857142857142857
21,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-12,0.0,5.0,0.2857142857142857,8.0,0.2857142857142857,7,0.2857142857142857,13,0.2857142857142857,7.0,0.2857142857142857,0.4285714285714286,0,0.0,8,4.0,0.4285714285714286
22,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-13,0.0,3.0,0.2857142857142857,5.0,0.2857142857142857,5,0.2857142857142857,10,0.2857142857142857,4.0,0.2857142857142857,0.4285714285714286,0,0.0,8,4.0,0.4285714285714286
23,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-14,0.0,3.0,0.2857142857142857,3.0,0.2857142857142857,4,0.2857142857142857,9,0.2857142857142857,2.0,0.2857142857142857,0.4285714285714286,0,0.0,8,1.0,0.4285714285714286
24,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-15,0.0,1.0,0.2857142857142857,2.0,0.2857142857142857,3,0.2857142857142857,7,0.2857142857142857,1.0,0.2857142857142857,0.4285714285714286,12,0.0,8,0.0,0.4285714285714286
