item_id,date,predicted,actual,error,MAPE,Accuracy
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f04,16-02-2024,154,144,0.069444444,0.049052051,0.950947949
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f04,17-02-2024,0,0,0,0.049052051,0.950947949
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f04,18-02-2024,0,0,0,0.049052051,0.950947949
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f0e,12-02-2024,49,43,0.139534884,0.050147696,0.949852304
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f0e,13-02-2024,63,56,0.125,0.050147696,0.949852304
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f0e,14-02-2024,66,65,0.015384615,0.050147696,0.949852304
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f0e,15-02-2024,59,62,0.048387097,0.050147696,0.949852304
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f0e,16-02-2024,45,44,0.022727273,0.050147696,0.949852304
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f0e,17-02-2024,0,0,0,0.050147696,0.949852304
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f0e,18-02-2024,0,0,0,0.050147696,0.949852304
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6e4a13070017386f2d,12-02-2024,87,93,0.064516129,0.054734015,0.945265985
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6e4a13070017386f2d,13-02-2024,98,123,0.203252033,0.054734015,0.945265985
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6e4a13070017386f2d,14-02-2024,101,92,0.097826087,0.054734015,0.945265985
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6e4a13070017386f2d,15-02-2024,93,93,0,0.054734015,0.945265985
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6e4a13070017386f2d,16-02-2024,58,57,0.01754386,0.054734015,0.945265985
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6e4a13070017386f2d,17-02-2024,0,0,0,0.054734015,0.945265985
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6e4a13070017386f2d,18-02-2024,0,0,0,0.054734015,0.945265985
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225a,12-02-2024,50,47,0.063829787,0.055572909,0.944427091
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225a,13-02-2024,66,58,0.137931034,0.055572909,0.944427091
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225a,14-02-2024,67,61,0.098360656,0.055572909,0.944427091
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225a,15-02-2024,64,60,0.066666667,0.055572909,0.944427091
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225a,16-02-2024,46,45,0.022222222,0.055572909,0.944427091
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225a,17-02-2024,0,0,0,0.055572909,0.944427091
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225a,18-02-2024,0,0,0,0.055572909,0.944427091
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225b,12-02-2024,110,102,0.078431373,0.055687241,0.944312759
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225b,13-02-2024,129,136,0.051470588,0.055687241,0.944312759
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225b,14-02-2024,122,129,0.054263566,0.055687241,0.944312759
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225b,15-02-2024,114,124,0.080645161,0.055687241,0.944312759
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225b,16-02-2024,98,112,0.125,0.055687241,0.944312759
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225b,17-02-2024,0,0,0,0.055687241,0.944312759
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b42225b,18-02-2024,0,0,0,0.055687241,0.944312759
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422294,12-02-2024,21,24,0.125,0.055915381,0.944084619
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422294,13-02-2024,27,26,0.038461538,0.055915381,0.944084619
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422294,14-02-2024,28,27,0.037037037,0.055915381,0.944084619
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422294,15-02-2024,24,22,0.090909091,0.055915381,0.944084619
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422294,16-02-2024,18,20,0.1,0.055915381,0.944084619
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422294,17-02-2024,0,0,0,0.055915381,0.944084619
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422294,18-02-2024,0,0,0,0.055915381,0.944084619
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422298,12-02-2024,329,334,0.01497006,0.060546638,0.939453362
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422298,13-02-2024,363,279,0.301075269,0.060546638,0.939453362
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422298,14-02-2024,338,334,0.011976048,0.060546638,0.939453362
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422298,15-02-2024,325,309,0.051779935,0.060546638,0.939453362
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422298,16-02-2024,332,318,0.044025157,0.060546638,0.939453362
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422298,17-02-2024,0,0,0,0.060546638,0.939453362
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ba1cb24314c6001b422298,18-02-2024,0,0,0,0.060546638,0.939453362
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c4c,12-02-2024,81,76,0.065789474,0.061201453,0.938798547
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c4c,13-02-2024,91,84,0.083333333,0.061201453,0.938798547
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c4c,14-02-2024,93,94,0.010638298,0.061201453,0.938798547
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c4c,15-02-2024,88,94,0.063829787,0.061201453,0.938798547
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c4c,16-02-2024,66,83,0.204819277,0.061201453,0.938798547
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c4c,17-02-2024,0,0,0,0.061201453,0.938798547
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c4c,18-02-2024,0,0,0,0.061201453,0.938798547
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c5c,12-02-2024,20,17,0.176470588,0.064939865,0.935060135
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c5c,13-02-2024,26,26,0,0.064939865,0.935060135
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c5c,14-02-2024,26,27,0.037037037,0.064939865,0.935060135
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c5c,15-02-2024,23,28,0.178571429,0.064939865,0.935060135
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c5c,16-02-2024,17,16,0.0625,0.064939865,0.935060135
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c5c,17-02-2024,0,0,0,0.064939865,0.935060135
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c5c,18-02-2024,0,0,0,0.064939865,0.935060135
5e454d189475ce03ce996662_5e463f6d84990c02f058a44c_65698f61e1523400118e6c79,12-02-2024,131,116,0.129310345,0.068783521,0.931216479
