,foodcourt,restaurant,restaurantmenuitem,date,actual,forecast_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,accuracy_xgb_lag,forecast_x,accuracy_prophet,forecast_y,accuracy_prophet_multi,forecast_rf_lag,accuracy_rf_lag
31,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-15,0.0,21.0,0.2857142857142857,42.0,0.2857142857142857,37,0.2857142857142857,71,0.2857142857142857,29.0,0.2857142857142857
32,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-16,0.0,81.0,0.2857142857142857,162.0,0.2857142857142857,97,0.2857142857142857,149,0.2857142857142857,115.0,0.2857142857142857
33,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-17,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0,0.2857142857142857,0,0.2857142857142857,0.0,0.2857142857142857
34,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-18,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0,0.2857142857142857,0,0.2857142857142857,0.0,0.2857142857142857
35,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-12,0.0,3.0,0.7142857142857143,5.0,0.7142857142857143,5,0.2857142857142857,6,0.2857142857142857,4.0,0.7142857142857143
36,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-13,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143,1,0.2857142857142857,1,0.2857142857142857,0.0,0.7142857142857143
37,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-14,0.0,2.0,0.7142857142857143,3.0,0.7142857142857143,3,0.2857142857142857,5,0.2857142857142857,3.0,0.7142857142857143
38,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-15,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143,1,0.2857142857142857,1,0.2857142857142857,0.0,0.7142857142857143
39,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-16,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143,1,0.2857142857142857,1,0.2857142857142857,0.0,0.7142857142857143
40,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-17,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143,0,0.2857142857142857,0,0.2857142857142857,0.0,0.7142857142857143
41,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-18,0.0,0.0,0.7142857142857143,0.0,0.7142857142857143,0,0.2857142857142857,0,0.2857142857142857,0.0,0.7142857142857143
42,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-12,0.0,12.0,0.4285714285714286,11.0,0.4285714285714286,18,0.2857142857142857,19,0.2857142857142857,10.0,0.4285714285714286
43,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-13,0.0,13.0,0.4285714285714286,14.0,0.4285714285714286,19,0.2857142857142857,21,0.2857142857142857,11.0,0.4285714285714286
44,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-14,0.0,6.0,0.4285714285714286,9.0,0.4285714285714286,12,0.2857142857142857,13,0.2857142857142857,7.0,0.4285714285714286
45,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-15,0.0,7.0,0.4285714285714286,11.0,0.4285714285714286,13,0.2857142857142857,14,0.2857142857142857,10.0,0.4285714285714286
46,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-16,0.0,0.0,0.4285714285714286,0.0,0.4285714285714286,5,0.2857142857142857,6,0.2857142857142857,0.0,0.4285714285714286
47,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-17,0.0,0.0,0.4285714285714286,0.0,0.4285714285714286,0,0.2857142857142857,0,0.2857142857142857,0.0,0.4285714285714286
