date,foodcourtid,restaurant,menuitemid,FCRI_total_count,forecast_lr,r2_lr,accuracy_lr,forecast_xgb_multi,r2_xgb_multi,accuracy_xgb_multi,forecast_xgb_norm,r2_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,r2_xgb_lag,accuracy_xgb_lag,forecast_rf_lag,r2_rf_lag,accuracy_rf_lag
2024-02-26,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d58b,0.0,0,0.0,0.7142857142857143,6,0.0,0.0,55.0,0.0,0.2857142857142857,32.0,0.0,0.2857142857142857,40.0,0.0,0.2857142857142857
2024-02-27,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d58b,0.0,0,0.0,0.7142857142857143,41,0.0,0.0,86.0,0.0,0.2857142857142857,37.0,0.0,0.2857142857142857,38.0,0.0,0.2857142857142857
2024-02-28,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d58b,0.0,0,0.0,0.7142857142857143,37,0.0,0.0,77.0,0.0,0.2857142857142857,2.0,0.0,0.2857142857142857,19.0,0.0,0.2857142857142857
2024-02-29,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d58b,0.0,0,0.0,0.7142857142857143,37,0.0,0.0,76.0,0.0,0.2857142857142857,19.0,0.0,0.2857142857142857,35.0,0.0,0.2857142857142857
2024-03-01,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d58b,0.0,0,0.0,0.7142857142857143,37,0.0,0.0,41.0,0.0,0.2857142857142857,9.0,0.0,0.2857142857142857,30.0,0.0,0.2857142857142857
2024-03-02,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d58b,0.0,43,0.0,0.7142857142857143,36,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-03-03,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d58b,0.0,57,0.0,0.7142857142857143,36,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-26,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d591,0.0,0,1.0,1.0,3,0.0,0.5714285714285714,12.0,0.0,0.2857142857142857,2.0,0.0,0.2857142857142857,7.0,0.0,0.2857142857142857
2024-02-27,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d591,0.0,0,1.0,1.0,3,0.0,0.5714285714285714,14.0,0.0,0.2857142857142857,2.0,0.0,0.2857142857142857,5.0,0.0,0.2857142857142857
2024-02-28,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d591,0.0,0,1.0,1.0,0,0.0,0.5714285714285714,13.0,0.0,0.2857142857142857,5.0,0.0,0.2857142857142857,4.0,0.0,0.2857142857142857
2024-02-29,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d591,0.0,0,1.0,1.0,0,0.0,0.5714285714285714,14.0,0.0,0.2857142857142857,2.0,0.0,0.2857142857142857,6.0,0.0,0.2857142857142857
2024-03-01,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d591,0.0,0,1.0,1.0,2,0.0,0.5714285714285714,10.0,0.0,0.2857142857142857,3.0,0.0,0.2857142857142857,8.0,0.0,0.2857142857142857
2024-03-02,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d591,0.0,0,1.0,1.0,0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-03-03,6464fc41af9792001b3e0fcd,646508cc1bf3a6001b7b9e84,648eebc9c0a7c7001714d591,0.0,0,1.0,1.0,0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-26,6464fc41af9792001b3e0fcd,64b11aecd77d600017f4d07a,655af8245346e5001b55d6b0,31.0,35,0.9638909358879882,0.9454049871221833,32,0.2546057479734709,0.6178221654565461,13.0,-0.03620117907148113,0.6189768942723354,33.0,0.9606669123065585,0.94084534658857,32.0,0.9516396462785557,0.9372969608193374
2024-02-27,6464fc41af9792001b3e0fcd,64b11aecd77d600017f4d07a,655af8245346e5001b55d6b0,36.0,36,0.9638909358879882,0.9454049871221833,30,0.2546057479734709,0.6178221654565461,13.0,-0.03620117907148113,0.6189768942723354,34.0,0.9606669123065585,0.94084534658857,30.0,0.9516396462785557,0.9372969608193374
